source,source_record_id,doi,title,journal,issn,eissn,received_date,accepted_date,published_date,review_days,production_days,total_days,evidence_url,harvested_at
pubmed,42060648,10.1371/journal.pone.0333649,Asynchronous telerehabilitation in prehabilitation and postoperative recovery for colorectal cancer: A protocol for a randomized controlled trial.,PloS one,1932-6203,,2025-10-07,2026-04-07,2026-04-30,182,23,205,https://pubmed.ncbi.nlm.nih.gov/42060648/,2026-05-02
pubmed,42060647,10.1371/journal.pone.0347765,LiteCrackSeg: A lightweight hybrid CNN-transformer for efficient crack segmentation.,PloS one,1932-6203,,2025-11-13,2026-04-07,2026-04-30,145,23,168,https://pubmed.ncbi.nlm.nih.gov/42060647/,2026-05-02
pubmed,42060646,10.1371/journal.pone.0347997,How does law and policy support providers of NHS healthcare in England to respond to harm experienced by patients during the course of their treatment and care: A scoping review.,PloS one,1932-6203,,2025-04-07,2026-04-09,2026-04-30,367,21,388,https://pubmed.ncbi.nlm.nih.gov/42060646/,2026-05-02
pubmed,42060645,10.1371/journal.pone.0345165,Coupled hydro-mechanical processes in rainfall-triggered mudstone landslides revealed by 3D laser scanning and model testing.,PloS one,1932-6203,,2026-01-27,2026-03-03,2026-04-30,35,58,93,https://pubmed.ncbi.nlm.nih.gov/42060645/,2026-05-02
pubmed,42060644,10.1371/journal.pone.0347682,"Comparative evaluation of the healing potential of excision wound using Nano- formulations of silver, gold, or their mixture: In-silico and in vivo approaches.",PloS one,1932-6203,,2025-04-29,2026-04-06,2026-04-30,342,24,366,https://pubmed.ncbi.nlm.nih.gov/42060644/,2026-05-02
pubmed,42060643,10.1371/journal.pone.0330015,"Exploring perceptions, challenges, and opportunities of UDS health professionals' students and faculty regarding community-based education programs for interprofessional education: A study protocol.",PloS one,1932-6203,,2025-07-30,2026-04-15,2026-04-30,259,15,274,https://pubmed.ncbi.nlm.nih.gov/42060643/,2026-05-02
pubmed,42060642,10.1371/journal.pone.0335584,ATG7 vs. ATG5: Distinct autophagy pathways shaping TGF-β signaling and endothelial function.,PloS one,1932-6203,,2025-10-13,2026-04-15,2026-04-30,184,15,199,https://pubmed.ncbi.nlm.nih.gov/42060642/,2026-05-02
pubmed,42060641,10.1371/journal.pone.0347528,"Determinants of non-communicable disease management among support staff in Putrajaya, Malaysia: The mediating role of attitude.",PloS one,1932-6203,,2025-03-15,2026-04-03,2026-04-30,384,27,411,https://pubmed.ncbi.nlm.nih.gov/42060641/,2026-05-02
pubmed,42060640,10.1371/journal.pone.0345769,Characterizing complex opioid use disorder care trajectories and outcomes following acute service utilization: A protocol for a population-based data linkage study.,PloS one,1932-6203,,2026-03-04,2026-03-09,2026-04-30,5,52,57,https://pubmed.ncbi.nlm.nih.gov/42060640/,2026-05-02
pubmed,42060639,10.1371/journal.pone.0343425,Novel anthropometric indices and cognitive function among iranian older adults: Bushehr Elderly Health (BEH) program.,PloS one,1932-6203,,2025-10-21,2026-02-05,2026-04-30,107,84,191,https://pubmed.ncbi.nlm.nih.gov/42060639/,2026-05-02
pubmed,42060638,10.1371/journal.pone.0348088,Implementation fidelity of Ethiopia's Malaria test-and-treat guideline amid a resurgence in Amhara Region: A mixed-methods study.,PloS one,1932-6203,,2025-08-01,2026-04-10,2026-04-30,252,20,272,https://pubmed.ncbi.nlm.nih.gov/42060638/,2026-05-02
pubmed,42060637,10.1371/journal.pone.0347344,Revolutionizing nanosatellites' data integrity with SEEnet: A real-time ensemble learning approach for Single-Event Effect (SEE) prediction.,PloS one,1932-6203,,2025-08-29,2026-03-31,2026-04-30,214,30,244,https://pubmed.ncbi.nlm.nih.gov/42060637/,2026-05-02
pubmed,42060636,10.1371/journal.pone.0347699,Differences in the impact of leisure consumption spaces on urban residents' life satisfaction: An empirical analysis based on social media big data.,PloS one,1932-6203,,2025-08-04,2026-04-06,2026-04-30,245,24,269,https://pubmed.ncbi.nlm.nih.gov/42060636/,2026-05-02
pubmed,42060634,10.1371/journal.pone.0347029,"""Unanswered questions"": Acceptability of a personalised breast cancer screening strategy in lower-risk women by healthcare professionals in the context of the MyPeBS study.",PloS one,1932-6203,,2024-12-04,2026-03-26,2026-04-30,477,35,512,https://pubmed.ncbi.nlm.nih.gov/42060634/,2026-05-02
pubmed,42060633,10.1371/journal.pone.0346925,Reliability-oriented performance evaluation of PV inverters using wide bandgap semiconductors.,PloS one,1932-6203,,2025-08-05,2026-03-25,2026-04-30,232,36,268,https://pubmed.ncbi.nlm.nih.gov/42060633/,2026-05-02
